Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",13.500000,13.500000,180.000000,bottom
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.500000,13.500000,180.000000,bottom
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.500000,13.500000,180.000000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.500000,13.500000,180.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.500000,13.500000,180.000000,bottom
"C6","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.500000,13.500000,180.000000,bottom
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.500000,13.500000,180.000000,bottom
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",139.500000,13.500000,180.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.500000,13.500000,180.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",175.500000,13.500000,180.000000,bottom
"C11","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",193.500000,13.500000,180.000000,bottom
"C12","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",211.500000,13.500000,180.000000,bottom
"C13","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",229.500000,13.500000,180.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",247.500000,13.500000,180.000000,bottom
"C15","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",265.500000,13.500000,180.000000,bottom
"C16","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",283.500000,13.500000,180.000000,bottom
"C17","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.500000,27.000000,180.000000,bottom
"C18","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.500000,27.000000,180.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.500000,27.000000,180.000000,bottom
"C20","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.500000,27.000000,180.000000,bottom
"C21","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",130.500000,27.000000,180.000000,bottom
"C22","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.500000,27.000000,180.000000,bottom
"C23","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.500000,27.000000,180.000000,bottom
"C24","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",220.500000,27.000000,180.000000,bottom
"C25","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",238.500000,27.000000,180.000000,bottom
"C26","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",256.500000,27.000000,180.000000,bottom
"C27","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.500000,48.750000,225.000000,bottom
"C28","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",218.500000,48.750000,225.000000,bottom
"C29","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",230.500000,48.750000,225.000000,bottom
"C30","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",242.500000,48.750000,225.000000,bottom
"C31","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",254.500000,48.750000,225.000000,bottom
"C32","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",272.500000,48.750000,225.000000,bottom
"C33","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",284.500000,48.750000,225.000000,bottom
"C34","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.500000,60.750000,45.000000,bottom
"C35","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",218.500000,60.750000,45.000000,bottom
"C36","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",230.500000,60.750000,45.000000,bottom
"C37","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",242.500000,60.750000,45.000000,bottom
"C38","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",254.500000,60.750000,45.000000,bottom
"C39","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",272.500000,60.750000,45.000000,bottom
"C40","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",284.500000,60.750000,45.000000,bottom
"C41","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.500000,72.750000,225.000000,bottom
"C42","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",218.500000,72.750000,225.000000,bottom
"C43","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",230.500000,72.750000,225.000000,bottom
"C44","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",242.500000,72.750000,225.000000,bottom
"C45","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",254.500000,72.750000,225.000000,bottom
"C46","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",272.500000,72.750000,225.000000,bottom
"C47","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",284.500000,72.750000,225.000000,bottom
"C48","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.500000,30.650000,90.000000,bottom
"C49","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,49.750000,0.000000,bottom
"C50","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,41.850000,0.000000,bottom
"C51","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.550000,35.350000,0.000000,bottom
"C52","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.800000,34.450000,270.000000,bottom
"C53","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.200000,55.700000,180.000000,bottom
"C54","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.500000,59.350000,180.000000,bottom
"C55","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,39.950000,0.000000,bottom
"C56","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.550000,34.250000,0.000000,bottom
"C57","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,34.250000,180.000000,bottom
"C58","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.000000,57.000000,270.000000,bottom
"C59","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.850000,32.150000,0.000000,bottom
"C60","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.650000,44.950000,0.000000,bottom
"C61","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.350000,44.950000,0.000000,bottom
"C62","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.000000,65.950000,90.000000,bottom
"C63","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.000000,65.950000,270.000000,bottom
"C64","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.250000,45.050000,0.000000,bottom
"C65","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",79.000000,45.950000,270.000000,bottom
"C66","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",110.000000,64.750000,180.000000,bottom
"C67","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",110.000000,75.250000,0.000000,bottom
"C68","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.975000,77.075000,0.000000,bottom
"C69","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",80.250000,74.150000,90.000000,bottom
"C70","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.950000,54.000000,0.000000,bottom
"C71","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.650000,54.000000,0.000000,bottom
"C72","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.900000,66.600000,0.000000,bottom
"C73","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.500000,61.250000,180.000000,bottom
"C74","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.600000,66.600000,180.000000,bottom
"C76","47uF","C_1206_3216Metric",4.700000,42.250000,0.000000,bottom
"C77","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",9.050000,39.050000,90.000000,bottom
"C78","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.650000,15.650000,90.000000,bottom
"C79","470uF","CP_Elec_6.3x7.7",76.400000,15.650000,0.000000,bottom
"C80","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",9.700000,63.300000,90.000000,bottom
"C81","470uF","CP_Elec_6.3x7.7",76.400000,22.900000,0.000000,bottom
"C82","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",13.200000,67.900000,0.000000,bottom
"C83","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",8.100000,50.900000,180.000000,bottom
"C84","470uF","CP_Elec_6.3x7.7",76.400000,30.150000,0.000000,bottom
"C85","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.100000,51.500000,180.000000,bottom
"C86","22nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.175000,37.400000,180.000000,bottom
