Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.997600,153.729800,0.000000,bottom
"C2","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",14.923200,148.988400,270.000000,bottom
"C3","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-2.500000,149.100000,270.000000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-2.300000,171.350000,0.000000,bottom
"C48","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-35.700000,125.550000,90.000000,bottom
"C49","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,144.650000,0.000000,bottom
"C50","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,136.750000,0.000000,bottom
"C51","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-27.725000,129.350000,270.000000,bottom
"C52","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-14.000000,129.350000,270.000000,bottom
"C53","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-12.400000,150.600000,180.000000,bottom
"C54","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-27.350000,152.100000,180.000000,bottom
"C55","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,134.850000,0.000000,bottom
"C56","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-38.750000,129.150000,0.000000,bottom
"C59","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.800000,127.300000,0.000000,bottom
"C60","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",7.150000,139.850000,0.000000,bottom
"C61","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.450000,139.850000,0.000000,bottom
"C62","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-19.200000,160.850000,90.000000,bottom
"C63","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-24.200000,160.850000,270.000000,bottom
"C64","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-47.450000,139.950000,0.000000,bottom
"C65","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-51.200000,140.850000,270.000000,bottom
"C66","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-80.149000,164.853000,90.000000,bottom
"C67","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-82.200000,170.150000,0.000000,bottom
"C68","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-27.175000,171.975000,0.000000,bottom
"C69","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-52.450000,169.050000,90.000000,bottom
"C70","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-145.150000,148.900000,0.000000,bottom
"C71","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-148.850000,148.900000,0.000000,bottom
"C72","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-145.100000,161.500000,0.000000,bottom
"C73","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-139.150000,156.200000,180.000000,bottom
"C74","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-148.800000,161.500000,180.000000,bottom
"C79","220uF","CP_Elec_6.3x4.5",-48.600000,110.550000,0.000000,bottom
"C81","220uF","CP_Elec_6.3x4.5",-48.600000,117.800000,0.000000,bottom
"C84","220uF","CP_Elec_6.3x4.5",-48.600000,125.050000,0.000000,bottom
"C86","22nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.625000,132.300000,180.000000,bottom
"C87","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-47.650000,131.050000,270.000000,bottom
"C88","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-0.375000,135.150000,90.000000,bottom
"C96","15pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,148.600000,0.000000,bottom
"C97","15pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,146.700000,0.000000,bottom
"C98","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.825000,184.100000,180.000000,bottom
