Designator,Value,Package,Mid X, Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.502400,-42.770200,0.000000,bottom
"C2","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.576800,-47.511600,270.000000,bottom
"C3","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.950000,-45.850000,0.000000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.450000,-17.850000,180.000000,bottom
"C5","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.894000,-55.957800,180.000000,bottom
"C6","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",29.419000,-69.132800,270.000000,bottom
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.307000,-72.130000,90.000000,bottom
"C8","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.320200,-75.762200,180.000000,bottom
"C9","47uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",25.126400,-79.419800,270.000000,bottom
"C10","47uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",23.805600,-61.055600,180.000000,bottom
"C11","47uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",23.805600,-58.845800,180.000000,bottom
"C48","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",76.200000,-70.950000,90.000000,bottom
"C49","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-51.850000,0.000000,bottom
"C50","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-59.750000,0.000000,bottom
"C51","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.525000,-64.600000,0.000000,bottom
"C52","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.700000,-64.600000,180.000000,bottom
"C53","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.950000,-48.100000,180.000000,bottom
"C54","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.850000,-44.400000,180.000000,bottom
"C55","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-61.650000,0.000000,bottom
"C60","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",33.350000,-56.650000,0.000000,bottom
"C61","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.050000,-56.650000,0.000000,bottom
"C62","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.700000,-35.650000,90.000000,bottom
"C63","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.700000,-35.650000,270.000000,bottom
"C64","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.950000,-56.550000,0.000000,bottom
"C65","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.700000,-55.650000,270.000000,bottom
"C66","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.649000,-31.647000,90.000000,bottom
"C67","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.700000,-26.350000,0.000000,bottom
"C68","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.675000,-24.525000,0.000000,bottom
"C69","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.950000,-27.450000,90.000000,bottom
"C70","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",185.650000,-47.600000,0.000000,bottom
"C71","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",189.350000,-47.600000,0.000000,bottom
"C72","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",185.600000,-35.000000,0.000000,bottom
"C73","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",179.650000,-40.300000,180.000000,bottom
"C74","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",189.300000,-35.000000,180.000000,bottom
"C79","220uF","CP_Elec_6.3x4.5",89.100000,-85.950000,0.000000,bottom
"C81","220uF","CP_Elec_6.3x4.5",89.100000,-78.700000,0.000000,bottom
"C84","220uF","CP_Elec_6.3x4.5",89.100000,-71.450000,0.000000,bottom
"C87","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.150000,-65.450000,270.000000,bottom
"C96","15pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-47.900000,0.000000,bottom
"C97","15pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-49.800000,0.000000,bottom
"C98","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.325000,-12.400000,180.000000,bottom
"C204","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-53.768000,0.000000,bottom
"C205","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-55.800000,0.000000,bottom
"C211","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.850000,-42.450000,180.000000,bottom
"C218","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-45.850000,180.000000,bottom
"C219","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-63.550000,0.000000,bottom
"C243","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",185.650000,-49.500000,180.000000,bottom
"C246","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",185.600000,-33.100000,180.000000,bottom
"C247","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",189.350000,-49.500000,180.000000,bottom
"C250","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",179.650000,-38.400000,0.000000,bottom
"C251","1uF (AUDIO)","C_Rect_L7.2mm_W5.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",198.450000,-30.550000,90.000000,bottom
"C252","220pF (C0G)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",197.550000,-23.000000,180.000000,bottom
"C253","1uF (AUDIO)","C_Rect_L7.2mm_W5.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",181.950000,-25.550000,270.000000,bottom
"C254","1uF (AUDIO)","C_Rect_L7.2mm_W5.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",192.950000,-30.550000,90.000000,bottom
"C255","1uF (AUDIO)","C_Rect_L7.2mm_W5.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",187.450000,-25.550000,270.000000,bottom
"C256","220pF (C0G)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",193.850000,-23.000000,0.000000,bottom
"C257","1uF (AUDIO)","C_Rect_L7.2mm_W5.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",176.450000,-30.550000,90.000000,bottom
"C258","220uF","CP_Elec_6.3x4.5",163.026000,-27.990000,270.000000,bottom
"C259","220pF (C0G)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",178.850000,-21.100000,0.000000,bottom
"C260","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",214.400000,-30.450000,270.000000,bottom
