Comment,Quant,Footprint,LCSC, JLCASM, MPN, LCSC PN
"1uF (AUDIO)","5","OTTO_Footprints_Lib:C_Rect_L7.2mm_W5.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","DNP","MKS2C041001F00JSSD","C92673"
"15V ZENER","1","Diode_SMD:D_SOD-123","","EXTDNP","BZT52C15","C173427"
"Barrel Jack, 2.0mmID, 6.5mmOD","1","OTTO_Footprints_Lib:BarrelJack_2.0mmID_6.5mmOD","","DNP","DC-005 5.5-2.0MM","C16214"
"ALPS EC11E183440C","4","OTTO_Footprints_Lib:ALPS_EC11","","DNP","EC11E183440C","C370986"
"Conn_ARM_JTAG_SWD_10","1","OTTO_Footprints_Lib:20021111-00010T4LF_SWD_HEADER","","DNP","20021111-00010T4LF","C239059"
"Conn_02x05","4","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","","DNP","N/A","C124355"
"Conn_02x05_Odd_Even","2","Connector_PinSocket_1.27mm:PinSocket_2x05_P1.27mm_Vertical_SMD","","DNP","","C124357"
"Conn_01x03","1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","DNP","","C225478"
"Microphone","1","OTTO_Footprints_Lib:INGHAi_GMI6050p","","DNP","GMI6050P-42db","C233942"
"ALPS SKHC","16","OTTO_Footprints_Lib:ALPS_SKHC_white","","DNP","SKHCBGA010","C139753"
"ALPS SKHC","10","OTTO_Footprints_Lib:ALPS_SKHC_black","","DNP","SKHCBGA010","C139753"
"5.2x5.2x1.5mm","1","OTTO_Footprints_Lib:SW_SPST_5.2x5.2x1.5mm","","EXTDNP","TS-1187A-B-A-B","C318884"
"SW_DIP_x02","2","OTTO_Footprints_Lib:SW_DIP_SPSTx02_Slide_HRO_EP-02KS","","DNP","EP-02KS","C129087"
"6x6x13mm","28","OTTO_Footprints_Lib:6x6mm_Switch","","DNP","K2-1102DP-S3SW-04","C136674"
"SW_DPDT_x2","1","OTTO_Footprints_Lib:SSAC120100","","DNP","SSAC120100","C202374"
"PJ-3930-8A","6","OTTO_Footprints_Lib:3.5mm_jack_PJ-3930-8A","","DNP","PJ-3930-8A","C145811"
"USB_B","1","OTTO_Footprints_Lib:USB_B","","DNP","292304-1","C86462"
