Reference, Quantity, Value, Footprint, Datasheet, AssemblyOption, JLCASM, MPN, LCSC PN
C48 C16 C15 C14 C13 C12 C11 C10 C9 C8 C7 C6 C5 C4 C3 C2 C1 C26 C25 C24 C23 C22 C21 C20 C19 C18 C17 C29 C30 C28 C33 C31 C32 C34 C46 C45 C47 C42 C41 C44 C43 C39 C38 C40 C35 C37 C36 C27 C78 C105 C104 C103 C102 C101 C100 C99 ,56,"100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/YAGEO-CC0805KRX7R9BB104_C49678.pdf","","BASIC","CC0805KRX7R9BB104","C49678"
C49 ,1,"47uF","Capacitor_SMD:C_1206_3216Metric","https://datasheet.lcsc.com/szlcsc/C68361.pdf","","EXT","CL31A476MQHNNNE","C68361"
C50 ,1,"10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/C1710.pdf","","BASIC","CL21B103KBANNNC","C1710"
LED47 LED46 LED45 LED44 LED41 LED42 LED43 LED35 LED34 LED36 LED39 LED38 LED37 LED40 LED27 LED33 LED32 LED31 LED30 LED29 LED28 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24 LED25 LED26 LED12 LED11 LED10 LED9 LED16 LED15 LED14 LED13 LED7 LED6 LED5 LED4 LED3 LED2 LED1 LED8 LED48 LED49 LED50 LED51 LED52 LED53 LED54 ,54,"WS2812B","OTTO_Footprints_Lib:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://datasheet.lcsc.com/szlcsc/C190565.pdf","","EXT","WS2812B-B","C114586"
Q1 ,1,"AO3400A","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/szlcsc/Alpha-Omega-Semicon-AOS-AO3400A_C20917.pdf","","BASIC","AO3400A","C20917"
R1 ,1,"47k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F4702T5E_C17713.pdf","","BASIC","0805W8F4702T5E","C17713"
R2 R9 R8 R7 R6 R5 ,6,"90","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F900JT5E_C247027.pdf","","EXT","0805W8F900JT5E","C247027"
R208 ,1,"100","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/C17408.pdf","","BASIC","0805W8F1000T5E","C17408"
R3 R11 ,2,"100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/C17407.pdf","","BASIC","0805W8F1003T5E","C17407"
R4 ,1,"0","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/C17477pdf","","BASIC","0805W8F0000T5E","C17477"
U1 ,1,"SN74LV1T34_SOT-23_A","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","https://datasheet.lcsc.com/szlcsc/C100024.pdf","","EXT","SN74LV1T34DBVR","C100024"
U2 ,1,"TPS22918_SOT23-6_A","OTTO_Footprints_Lib:SOT-23-6","https://datasheet.lcsc.com/szlcsc/C131941.pdf","","EXT","TPS22918DBVR","C131941"
